text,source,label,reliability,bias
"“Our problem with Representative Ryan is that he claims his budget is based on Catholic social teaching,” said Jesuit Father Thomas J. Reese , one of the organizers of the letter.",huffpost,0,37.82,-10.75
"A Republican staffer on Friday apologized for a Facebook post that criticized Malia and Sasha Obama's appearance at the annual White House turkey pardon ceremony, one of America's silliest holiday traditions.",huffpost,0,37.82,-10.75
"“He told me that he was here because he was concerned about everything that was going on and he wanted us to voice our opinions and what did we want to change, and that he was going back to the White House to report so we can get some funding, so we can get a game plan on how to help our community,” Angela Whitman told HuffPost.",huffpost,0,37.82,-10.75
"Jay Roberts, 60, lives nearby and said the game was “probably one of the few moments with all this rancor and politics that they can have some normalcy.”",huffpost,0,37.82,-10.75
"Trump notably backed Strange over Moore, though many members of his base, including former White House chief strategist Steve Bannon, supported Moore.",huffpost,0,37.82,-10.75
But the attack on McCain's accounting was part of the assault nonetheless.,huffpost,1,37.82,-10.75
"Akin also claimed he would help Romney and the Republican party in November by soldiering on, but admitted that no senator had called him to ask him to stay in the race.",huffpost,0,37.82,-10.75
"“Your willingness to continue to promote a demonstrably false narrative is alarming,” they said, joining other top Republican lawmakers demanding Schiff’s ouster.",huffpost,0,37.82,-10.75
"“Threats made against @SecretService protectees receive the highest priority of all of our investigations,” with the hashtag #ProtectionNeverRests.",huffpost,0,37.82,-10.75
Trump also falsely stated that the U.S. is “the only country in the world” that offers citizenship to those born here.,huffpost,0,37.82,-10.75
"Moreover, by taking their oaths of office, lawmakers swear to abide by the Constitution, and virtually all legislation is vetted for constitutional support on some level by government lawyers before it makes it to committee or to the floor of the House.",huffpost,0,37.82,-10.75
“I’m hopeful.”,huffpost,0,37.82,-10.75
He added that Ryan was investigating the matter alongside the Federal Election Commission.,huffpost,0,37.82,-10.75
“We need the very best to lead us.,huffpost,0,37.82,-10.75
"“If Trump oversteps his authority and abandons negotiations with Congress by declaring a fabricated national emergency, we won’t only call his bluff, we will do what we must to hold him accountable.”",huffpost,0,37.82,-10.75
"Expanding on tough races, Boehner said, ""We have 50 of our members in tough races; 89 freshmen running for their first re-elections.",huffpost,0,37.82,-10.75
And not on a trivial matter.,huffpost,0,37.82,-10.75
"In an interview with Axios published Monday, Dowd brought out a new defense: Trump isn’t guilty of obstructing justice because he is the president.",huffpost,0,37.82,-10.75
"I think people ought to be free to enter into any kind of union they wish.""",huffpost,0,37.82,-10.75
"The FBI is taking over the investigation into the shooting, Alexandria Police Chief Michael Brown said.",huffpost,0,37.82,-10.75
"Before the surgery, Scalise was “in good spirits and spoke to his wife by phone,” his office said.",huffpost,0,37.82,-10.75
"I’ve built a business ― and I didn’t start it with a million-dollar check from my father,” Bloomberg said.",huffpost,0,37.82,-10.75
"On Wednesday, the House voted 396-9 on a bill that reaffirmed the motto and encouraged its display in all public schools and government buildings.",huffpost,0,37.82,-10.75
“It is contrary to everything the FBI is about and it undermines the confidence that the public needs to have in the independence of the agency.,huffpost,0,37.82,-10.75
"""There are dozens of ways modest tax increases on even just the very wealthiest Americans would restore Social Security to long-run actuarial balance, and there would be enough left over to increase benefits,"" said Nancy Altman, co-chair of Strengthen Social Security, a 300-member coalition of national and state organizations opposed to benefit cuts.",huffpost,0,37.82,-10.75
"""This is a monumental moment.",huffpost,0,37.82,-10.75
That’s what it was about.”,huffpost,0,37.82,-10.75
"Asked about the current debate in Congress over gun control legislation, Hutchinson said he had ""not dealt with the separate debate"" because he had been too busy considering school safety issues.",huffpost,0,37.82,-10.75
"This mission was driven not just by party leaders, but also by the candidates who would ultimately deliver Democrats their first majority in the House in eight years.",huffpost,0,37.82,-10.75
